"Source:","C:\Users\Cameron\Documents\GitHub\ece4600capstone\PCB\Capstone.sch"
"D8","600mV 200mA","Diodes_SMD:D_SOD-523","https://www.digikey.ca/product-detail/en/on-semiconductor/RB520S30T5G/RB520S30T5GOSCT-ND/5213385","",""
"H1","MountingHole_Pad","Mounting_Holes:MountingHole_4mm_Pad_Via","~","",""
"H2","MountingHole_Pad","Mounting_Holes:MountingHole_4mm_Pad_Via","~","",""
"H3","MountingHole_Pad","Mounting_Holes:MountingHole_4mm_Pad_Via","~","",""
"H4","MountingHole_Pad","Mounting_Holes:MountingHole_4mm_Pad_Via","~","",""
"J1","S2B-PH-SM4-TB","Parts:JST_S2B-PH-SM4-TB","http://www.jst-mfg.com/product/detail_e.php?series=199","",""
"J2","TRANSDUCER","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","https://www.digikey.ca/product-detail/en/adam-tech/PH1-02-UA/2057-PH1-02-UA-ND/9830266","",""
"J3","DNP","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","https://www.digikey.ca/product-detail/en/adam-tech/PH1-02-UA/2057-PH1-02-UA-ND/9830266","",""
"J4","PH1-08-UA","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","https://www.digikey.ca/product-detail/en/adam-tech/PH1-08-UA/2057-PH1-08-UA-ND/9830442","",""
"J5","DNP","Pin_Headers:Pin_Header_Straight_1x15_Pitch2.54mm","https://www.digikey.ca/product-detail/en/adam-tech/PH1-15-UA/2057-PH1-15-UA-ND/9830359","",""
"J6","DNP","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","https://www.digikey.ca/product-detail/en/adam-tech/PH1-02-UA/2057-PH1-02-UA-ND/9830266","",""
"J7","DNP","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","https://www.digikey.ca/product-detail/en/adam-tech/PH1-02-UA/2057-PH1-02-UA-ND/9830266","",""
"J8","DNP","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","https://www.digikey.ca/product-detail/en/adam-tech/PH1-08-UA/2057-PH1-08-UA-ND/9830442","",""
"J9","DNP","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","https://www.digikey.ca/product-detail/en/adam-tech/PH1-02-UA/2057-PH1-02-UA-ND/9830266","",""
"J10","DNP","Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm","https://www.digikey.ca/product-detail/en/adam-tech/PH2-10-UA/2057-PH2-10-UA-ND/9830654","",""
"J11","DNP","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","https://www.digikey.ca/product-detail/en/adam-tech/PH1-02-UA/2057-PH1-02-UA-ND/9830266","",""
"J12","DNP","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","~","",""
"JP1","0","Parts:SolderJumper_0603","","",""
"JP2","0","Parts:SolderJumper_0603","","",""
"JP3","0","Parts:SolderJumper_0603","","",""
"JP4","0","Parts:SolderJumper_0603","","",""
"JP5","0","Parts:SolderJumper_0603","","",""
"JP6","0","Parts:SolderJumper_0603","","",""
"JP7","0","Parts:SolderJumper_0603","","",""
"JP8","0","Parts:SolderJumper_0603","","",""
"L1","2.2uH","Inductors:Inductor_Taiyo-Yuden_MD-3030","https://www.digikey.ca/product-detail/en/murata-electronics/LQH3NPN2R2MMEL/490-15950-1-ND/6800615","",""
"L2","100nH","Resistors_SMD:R_0805_HandSoldering","https://www.digikey.ca/product-detail/en/tdk-corporation/MLZ2012DR10DT000/445-6395-1-ND/2465721","",""
"L3","2.2uH","Inductors:Inductor_Taiyo-Yuden_MD-3030","https://www.digikey.ca/product-detail/en/murata-electronics/LQH3NPN2R2MMEL/490-15950-1-ND/6800615","",""
"L4","100nH","Resistors_SMD:R_0805_HandSoldering","https://www.digikey.ca/product-detail/en/tdk-corporation/MLZ2012DR10DT000/445-6395-1-ND/2465721","",""
"L5","10uH","Parts:NRS6045T100MMGK","https://www.digikey.ca/product-detail/en/taiyo-yuden/NRS6045T100MMGK/587-2946-1-ND/2666051","",""
"L6","150uH","Parts:SRU1048-151Y","https://www.digikey.ca/product-detail/en/bourns-inc/SRU1048-151Y/SRU1048-151YCT-ND/3043680","",""
"NT1","Net-Tie_2","Parts:NetTie-2","~","",""
"NT2","Net-Tie_2","Parts:NetTie-2","~","",""
"NT3","Net-Tie_2","Parts:NetTie-2","~","",""
"NT4","Net-Tie_2","Parts:NetTie-2","~","",""
"Q1","SSM6K361NU","Parts:UDFN6-FET-PAD","https://toshiba.semicon-storage.com/us/product/mosfet/detail.SSM6K361NU.html","",""
"R1","100m","Resistors_SMD:R_0805_HandSoldering","https://www.digikey.ca/product-detail/en/cts-resistor-products/73L3R10J/73L3R10JCT-ND/1543529","",""
"R2","100m","Resistors_SMD:R_0805_HandSoldering","https://www.digikey.ca/product-detail/en/cts-resistor-products/73L3R10J/73L3R10JCT-ND/1543529","",""
"R3","20k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT20K0/RMCF0603FT20K0CT-ND/1943075","",""
"R4","3.3k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT3K30/RMCF0603FT3K30CT-ND/1943024","",""
"R5","30","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT30R0/RMCF0603FT30R0CT-ND/4425092","",""
"R6","3.3k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT3K30/RMCF0603FT3K30CT-ND/1943024","",""
"R7","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R8","47","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT47R0/RMCF0603FT47R0CT-ND/1942954","",""
"R9","30k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT30K0/RMCF0603FT30K0CT-ND/1943086","",""
"R10","47","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT47R0/RMCF0603FT47R0CT-ND/1942954","",""
"R11","30","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT30R0/RMCF0603FT30R0CT-ND/4425092","",""
"R12","470k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT470K/RMCF0603FT470KCT-ND/1943136","",""
"R13","470k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT470K/RMCF0603FT470KCT-ND/1943136","",""
"R14","220k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT220K/RMCF0603FT220KCT-ND/2417988","",""
"R15","3.3k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT3K30/RMCF0603FT3K30CT-ND/1943024","",""
"R16","27k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT27K0/RMCF0603FT27K0CT-ND/1943083","",""
"R17","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R18","86.6k","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT86K6/RMCF0603FT86K6CT-ND/1943115","",""
"R19","10k","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R20","10k","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R21","220k","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT220K/RMCF0603FT220KCT-ND/2417988","",""
"R22","30k","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT30K0/RMCF0603FT30K0CT-ND/1943086","",""
"R23","392k","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT392K/RMCF0603FT392KCT-ND/1943135","",""
"R24","10k","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R25","100","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT100R/RMCF0603FT100RCT-ND/1942965","",""
"R26","220k","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT220K/RMCF0603FT220KCT-ND/2417988","",""
"R27","100m","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/panasonic-electronic-components/ERJ-3RSFR10V/P.10AJCT-ND/308098","",""
"R28","20k","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT20K0/RMCF0603FT20K0CT-ND/1943075","",""
"R29","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R30","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R31","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R32","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R33","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R34","1k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT1K00/RMCF0603FT1K00CT-ND/1942996","",""
"R35","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R36","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R37","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R38","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R39","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R40","15k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT15K0/RMCF0603FT15K0CT-ND/1943069","",""
"R41","75k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT75K0/RMCF0603FT75K0CT-ND/1943111","",""
"R42","15k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT15K0/RMCF0603FT15K0CT-ND/1943069","",""
"R43","15k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT15K0/RMCF0603FT15K0CT-ND/1943069","",""
"R44","1k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT1K00/RMCF0603FT1K00CT-ND/1942996","",""
"R45","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R46","220k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT220K/RMCF0603FT220KCT-ND/2417988","",""
"R47","10","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10R0/RMCF0603FT10R0CT-ND/1942943","",""
"R48","220k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT220K/RMCF0603FT220KCT-ND/2417988","",""
"R49","47k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT47K0/RMCF0603FT47K0CT-ND/1943099","",""
"R50","47k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT47K0/RMCF0603FT47K0CT-ND/1943099","",""
"R51","7.5k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT7K50/RMCF0603FT7K50CT-ND/1943049","",""
"R52","7.5k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT7K50/RMCF0603FT7K50CT-ND/1943049","",""
"R53","2.7k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT2K70/RMCF0603FT2K70CT-ND/1943018","",""
"R54","2.7k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT2K70/RMCF0603FT2K70CT-ND/1943018","",""
"R55","330","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT330R/RMCF0603FT330RCT-ND/1942981","",""
"R56","330","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT330R/RMCF0603FT330RCT-ND/1942981","",""
"R57","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R58","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R59","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R60","10k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT10K0/RMCF0603FT10K0CT-ND/1943057","",""
"R61","1k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT1K00/RMCF0603FT1K00CT-ND/1942996","",""
"R62","30k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT30K0/RMCF0603FT30K0CT-ND/1943086","",""
"R63","1","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT1R00/RMCF0603FT1R00CT-ND/2417978","",""
"R64","30k","Resistors_SMD:R_0603_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0603FT30K0/RMCF0603FT30K0CT-ND/1943086","",""
"R65","10k","Resistors_SMD:R_1206_HandSoldering","https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RNCP1206FTD10K0/RNCP1206FTD10K0CT-ND/2240708","",""
"SW1","SW_Push","Parts:PTS645SK43SM","https://www.ckswitches.com/products/tactile/PTS645/","",""
"SW2","SW_Push","Parts:PTS645SK43SM","https://www.ckswitches.com/products/tactile/PTS645/","",""
"SW3","SW_Push","Parts:PTS645SK43SM","https://www.ckswitches.com/products/tactile/PTS645/","",""
"U1","TPS63031","Parts:WSON10-PAD","http://www.ti.com/product/TPS63031","",""
"U2","TCR2EF25","Parts:SOT23-5","https://toshiba.semicon-storage.com/us/product/linear/power-supply/detail.TCR2EF25.html","",""
"U3","TPS62262","Parts:WSON6-2x2-PAD","http://www.ti.com/product/TPS62262","",""
"U4","BMD-360","Parts:BMD-360","https://www.u-blox.com/en/product/bmd-360-open-cpu","",""
"U5","MIC841N","Parts:SOT353","https://www.microchip.com/wwwproducts/en/MIC841","",""
"U6","ENS210","Parts:QFN4-PAD","https://ams.com/ens210","",""
"U7","W25Q80DV","Parts:SOIC8","https://www.winbond.com/hq/product/code-storage-flash-memory/serial-nor-flash/?__locale=en&partNo=W25Q80DV","",""
"U8","LIS2DE12","Parts:LGA12","https://www.st.com/content/st_com/en/products/mems-and-sensors/accelerometers/lis2de12.html","",""
"U9","LMR62421","Parts:WSON6-3x3-PAD","http://www.ti.com/product/LMR62421","",""
"U10","AP2204K-ADJ","Parts:SOT23-5","https://www.diodes.com/part/view/AP2204","",""
"U11","LM3478","Parts:SSOP8","http://www.ti.com/product/LM3478","",""
"U12","10CL010","Parts:EQFP144-PAD","https://www.intel.com/content/www/us/en/programmable/products/fpga/cyclone-series/cyclone-10/cyclone-10-lp/support.html","",""
"U13","ECS-5032MV","Parts:ECS-5032MV","https://ecsxtal.com/ecs-5032mv","",""
"U14","TSX9291","Parts:SOT23-5","https://www.st.com/content/st_com/en/products/amplifiers-and-comparators/operational-amplifiers-op-amps/precision-op-amps-lt50-mhz/rail-to-rail-op-amps/tsx9291.html","",""
"U15","LTC6090-5","Parts:SOIC8-PAD","https://www.analog.com/en/products/ltc6090.html","",""
"U16","AD5450","Parts:TSOT8","https://www.analog.com/en/products/ad5450.html","",""
"U17","ADA4522-1","Parts:SSOP8","https://www.analog.com/en/products/ada4522-1.html","",""
"U18","MAX5394L","Parts:TDFN8-PAD","https://www.maximintegrated.com/en/products/analog/data-converters/digital-potentiometers/MAX5394.html","",""
"U19","MAX5394L","Parts:TDFN8-PAD","https://www.maximintegrated.com/en/products/analog/data-converters/digital-potentiometers/MAX5394.html","",""
"U20","MAX11116","Parts:SOT23","https://www.maximintegrated.com/en/products/analog/data-converters/analog-to-digital-converters/MAX11116.html","",""
"U21","TLV3544","Parts:SSOP14","https://www.ti.com/product/TLV3544","",""
"U22","MCP6L1","Parts:SOT23-5","https://www.microchip.com/wwwproducts/en/MCP6L1","",""
